252LSBZ,miser,31,6562,0.0,46,29
6RRF30RG,miser,11,3569,0.0,38,42
5ELVOMY,miser,18,1316,0.0,31,21
GHF6B,miser,28,5101,0.0,29,16
U48EN9CK9,miser,40,4210,0.0,42,35
MC1FGN,miser,10,2661,0.0,31,27
K8J94GW,miser,22,3813,0.0,38,26
D4MRZ7,miser,39,2588,0.0,22,36
GPU5YP,miser,41,2679,0.0,68,49
UG1QD,miser,13,9616,0.0,66,43
UDSDI5RYW,miser,14,3492,0.0,38,20
7QX4K9EJ,miser,48,7016,0.0,58,48
S5Q0Q,miser,28,7130,0.0,51,10
F6GSNSSHQ,miser,35,7269,0.0,63,35
GC84UN54P,miser,23,5443,0.0,36,40
XZQXH,miser,31,3401,0.0,39,40
Z5HCIQLH,miser,42,5941,0.0,66,30
FEZNZ14,miser,16,4376,0.0,27,19
FL45AJVKD,miser,10,4047,0.0,53,23
H144IRU8V,miser,13,8648,0.0,24,42
U48GK,generous,10,7413,0.0,22,30
712LFT7N,generous,46,1052,0.0,41,38
DFPUBQ,generous,21,5294,0.0,69,50
MGXDMUEJK,generous,7,5036,0.0,34,31
F1RUX,generous,11,3088,0.0,72,41
WUN2B,generous,43,4717,0.0,61,35
G7S5PB6H4,generous,18,6981,0.0,68,40
JZ7W7VJMH,generous,8,9663,0.0,61,20
85DJBG2,generous,45,4984,0.0,26,32
FRH4J,generous,49,6619,0.0,76,44
8L9DL,generous,14,7348,0.0,62,43
PWGRS,generous,27,5331,0.0,63,21
EUSAU6J,generous,10,4732,0.0,31,34
2L44WI6G,generous,36,4068,0.0,36,26
Z2KHGS1TN,generous,29,3415,0.0,60,25
PVXV4I,generous,24,2285,0.0,56,42
C23M3,generous,12,9267,0.0,51,8
FBWVAFQE,generous,26,4026,0.0,61,41
IFFE18KU,generous,20,4451,0.0,49,30
8XPW4WAJ,generous,8,8044,0.0,31,14
Y1A40E7E,geek,45,5162,0.0,78,46
MN1SZUHV,geek,36,5200,0.0,42,28
UVFYWO,geek,36,9929,0.0,22,22
Y623SIEG,geek,31,6220,0.0,62,24
CL455,geek,46,6414,0.0,41,19
K5PK54E,geek,44,1576,0.0,56,32
Q7NKGM4,geek,17,7632,0.0,49,37
VIF07M6VH,geek,8,7059,0.0,59,23
H8HQAXKV,geek,20,6579,0.0,68,49
LX4CS9Z,geek,43,2018,0.0,76,20
F4ICY4N,geek,5,7306,0.0,41,18
68KR03,geek,15,9862,0.0,49,41
6WSP9,geek,38,3069,0.0,36,46
SXJCO5W,geek,17,8319,0.0,44,30
ON9ZM,geek,50,6359,0.0,56,8
PYE2JJ1,geek,44,4473,0.0,22,7
3JVK0EJ,geek,43,1767,0.0,63,5
NJUDKVFBJ,geek,5,4781,0.0,58,30
TRJL4,geek,44,9564,0.0,41,13
VS4X45AD,geek,30,9238,0.0,20,35
